"Event","Rank","Time","Wind","Name","Nationality","Birthday","Result","City","Date","lon","lat","Altitude","Age"
"100m","29",9.78,-0.4,"Tyson Gay","USA",1982-08-09,"1","London",2010-08-13,-0.1277583,51.5073509,FALSE,28.03
"100m","29",9.78,0.9,"Nesta Carter","JAM",1985-11-10,"1","Rieti",2010-08-29,12.8567281,42.404509,FALSE,24.82
"100m","29",9.78,1,"Asafa Powell","JAM",1982-11-23,"1rA","Lausanne",2011-06-30,6.6322734,46.5196535,FALSE,28.62
"100m","29",9.78,-0.3,"Justin Gatlin","USA",1982-02-10,"1","Monaco",2015-07-17,7.4246158,43.7384176,FALSE,33.45
"100m","34",9.79,0.1,"Maurice Greene","USA",1974-07-23,"1r3","Athínai",1999-06-16,23.7275388,37.9838096,FALSE,24.92
"100m","34",9.79,-0.2,"Usain Bolt","JAM",1986-08-21,"1","Saint-Denis",2009-07-17,2.357443,48.936181,FALSE,22.92
"100m","34",9.79,0.1,"Tyson Gay","USA",1982-08-09,"1","Bruxelles",2010-08-27,4.3517103,50.8503396,FALSE,28.07
"100m","34",9.79,1.1,"Tyson Gay","USA",1982-08-09,"1h1","Clermont",2011-06-04,-81.7728543,28.5494447,FALSE,28.84
"100m","34",9.79,0.6,"Usain Bolt","JAM",1986-08-21,"1","Oslo",2012-06-07,10.7522454,59.9138688,FALSE,25.81
"100m","34",9.79,1.5,"Justin Gatlin","USA",1982-02-10,"3","London",2012-08-05,-0.1277583,51.5073509,FALSE,30.5
"100m","34",9.79,-0.5,"Usain Bolt","JAM",1986-08-21,"1","Beijing",2015-08-23,116.4073963,39.9041999,FALSE,29.02
"100m","34",9.79,-0.3,"Christian Coleman","USA",1996-03-06,"1","Bruxelles",2018-08-31,4.3517103,50.8503396,FALSE,22.5
"100m","42",9.8,0.2,"Maurice Greene","USA",1974-07-23,"1","Sevilla",1999-08-22,-5.9844589,37.3890924,FALSE,25.1
"100m","42",9.8,1.3,"Steve Mullings","JAM",1982-11-29,"1","Eugene",2011-06-04,-123.0867536,44.0520691,FALSE,28.53
"100m","42",9.8,1.8,"Justin Gatlin","USA",1982-02-10,"1","Eugene",2012-06-24,-123.0867536,44.0520691,FALSE,30.39
"100m","42",9.8,0.6,"Usain Bolt","JAM",1986-08-21,"1","Bruxelles",2013-09-06,4.3517103,50.8503396,FALSE,27.06
"100m","42",9.8,0.1,"Justin Gatlin","USA",1982-02-10,"1rA","Lausanne",2014-07-03,6.6322734,46.5196535,FALSE,32.41
"100m","42",9.8,-0.5,"Justin Gatlin","USA",1982-02-10,"2","Beijing",2015-08-23,116.4073963,39.9041999,FALSE,33.55
"100m","42",9.8,1.6,"Justin Gatlin","USA",1982-02-10,"1","Eugene",2016-07-03,-123.0867536,44.0520691,FALSE,34.42
"100m","49",9.81,0,"Usain Bolt","JAM",1986-08-21,"1rA","Zürich",2009-08-28,8.541694,47.3768866,FALSE,23.04
"100m","49",9.81,1.3,"Asafa Powell","JAM",1982-11-23,"1","Saint-Denis",2015-07-04,2.357443,48.936181,FALSE,32.63
"100m","49",9.81,0.2,"Usain Bolt","JAM",1986-08-21,"1","Rio de Janeiro",2016-08-14,-43.1728965,-22.9068467,FALSE,30
"100m","49",9.81,-0.1,"Christian Coleman","USA",1996-03-06,"1","Palo Alto",2019-06-30,-122.1430195,37.4418834,FALSE,23.33
"100m","53",9.82,-0.2,"Maurice Greene","USA",1974-07-23,"1","Edmonton",2001-08-05,-113.4909267,53.544389,FALSE,27.05
"100m","53",9.82,0,"Asafa Powell","JAM",1982-11-23,"1rA","Monaco",2008-07-29,7.4246158,43.7384176,FALSE,25.7
"100m","53",9.82,1.4,"Asafa Powell","JAM",1982-11-23,"1","Rieti",2008-09-07,12.8567281,42.404509,FALSE,25.81
"100m","53",9.82,1.4,"Asafa Powell","JAM",1982-11-23,"1","Szczecin",2009-09-15,14.5528116,53.4285438,FALSE,26.83
"100m","53",9.82,0.6,"Asafa Powell","JAM",1982-11-23,"1","Roma",2010-06-10,-95.9036356,36.0766378,FALSE,27.56
"100m","53",9.82,0.5,"Usain Bolt","JAM",1986-08-21,"1rA","Lausanne",2010-07-08,6.6322734,46.5196535,FALSE,23.9
"100m","53",9.82,0,"Yohan Blake","JAM",1989-12-26,"1r3","Zürich",2011-09-08,8.541694,47.3768866,FALSE,21.72
"100m","53",9.82,0.1,"Yohan Blake","JAM",1989-12-26,"1","Berlin",2011-09-11,13.404954,52.5200066,FALSE,21.72
"100m","53",9.82,1.8,"Usain Bolt","JAM",1986-08-21,"1rA","Kingston",2012-05-05,-117.9269481,33.7085616,FALSE,25.72
"100m","53",9.82,0.7,"Justin Gatlin","USA",1982-02-10,"1s1","London",2012-08-05,-0.1277583,51.5073509,FALSE,30.5
"100m","53",9.82,1.7,"Richard Thompson","TTO",1985-06-07,"1r A","Port of Spain",2014-06-21,-61.5142371,10.6495918,FALSE,29.06
"100m","53",9.82,-0.1,"Justin Gatlin","USA",1982-02-10,"1rA","Linz",2014-07-14,14.28583,48.30694,FALSE,32.44
"100m","53",9.82,1.3,"Christian Coleman","USA",1996-03-06,"1h1","Eugene",2017-06-07,-123.0867536,44.0520691,FALSE,21.27
"100m","66",9.83,-0.3,"Asafa Powell","JAM",1982-11-23,"1","Stuttgart",2007-09-22,9.1829321,48.7758459,FALSE,24.85
"100m","66",9.83,-0.5,"Usain Bolt","JAM",1986-08-21,"1rA","Zürich",2008-08-29,8.541694,47.3768866,FALSE,22.04
"100m","66",9.83,-1.3,"Asafa Powell","JAM",1982-11-23,"2","Bruxelles",2008-09-05,4.3517103,50.8503396,FALSE,25.8
"100m","66",9.83,-0.5,"Asafa Powell","JAM",1982-11-23,"1","Ostrava",2010-05-27,18.2625243,49.8209226,FALSE,27.53
"100m","66",9.83,0.7,"Justin Gatlin","USA",1982-02-10,"1r2","Rieti",2014-09-07,12.8567281,42.404509,FALSE,32.59
"100m","66",9.83,1.7,"Justin Gatlin","USA",1982-02-10,"1s1","Eugene",2016-07-03,-123.0867536,44.0520691,FALSE,34.42
"100m","72",9.84,0.7,"Donovan Bailey","CAN",1967-12-16,"1","Atlanta",1996-07-27,-84.3879824,33.7489954,FALSE,28.63
"100m","72",9.84,0.2,"Bruny Surin","CAN",1967-07-12,"2","Sevilla",1999-08-22,-5.9844589,37.3890924,FALSE,32.13
"100m","72",9.84,1.8,"Asafa Powell","JAM",1982-11-23,"1","Kingston",2005-05-07,-117.9269481,33.7085616,FALSE,22.47
"100m","72",9.84,1,"Tyson Gay","USA",1982-08-09,"2rA","Zürich",2006-08-18,8.541694,47.3768866,FALSE,24.04
"100m","72",9.84,-0.5,"Tyson Gay","USA",1982-08-09,"1","Indianapolis",2007-06-22,-86.158068,39.768403,FALSE,24.88
"100m","72",9.84,-0.3,"Asafa Powell","JAM",1982-11-23,"1","Bruxelles",2007-09-14,4.3517103,50.8503396,FALSE,24.82
"100m","72",9.84,0.9,"Asafa Powell","JAM",1982-11-23,"3","Berlin",2009-08-16,13.404954,52.5200066,FALSE,26.75
"100m","72",9.84,-0.3,"Usain Bolt","JAM",1986-08-21,"1","Saint-Denis",2010-07-16,2.357443,48.936181,FALSE,23.92
"100m","72",9.84,0,"Tyson Gay","USA",1982-08-09,"1","Stockholm",2010-08-06,18.0685808,59.3293235,FALSE,28.01
"100m","72",9.84,0.5,"Yohan Blake","JAM",1989-12-26,"1","Georgetown",2012-05-09,-77.0722585,38.9076089,FALSE,22.38
"100m","72",9.84,1.8,"Asafa Powell","JAM",1982-11-23,"1rA","Kingston",2015-05-09,-117.9269481,33.7085616,FALSE,32.48
"100m","72",9.84,1.3,"Trayvon Bromell","USA",1995-07-10,"1h4","Eugene",2015-06-25,-123.0867536,44.0520691,FALSE,19.97
"100m","72",9.84,0.9,"Asafa Powell","JAM",1982-11-23,"1","Kingston",2015-06-26,-117.9269481,33.7085616,FALSE,32.61
"100m","72",9.84,1.6,"Trayvon Bromell","USA",1995-07-10,"2","Eugene",2016-07-03,-123.0867536,44.0520691,FALSE,21
"100m","86",9.85,1.2,"Leroy Burrell","USA",1967-02-21,"1r3","Lausanne",1994-07-06,6.6322734,46.5196535,FALSE,27.39
"100m","86",9.85,0.8,"Maurice Greene","USA",1974-07-23,"1","Roma",1999-07-07,-95.9036356,36.0766378,FALSE,24.97
"100m","86",9.85,0.6,"Justin Gatlin","USA",1982-02-10,"1","Athínai",2004-08-22,23.7275388,37.9838096,FALSE,22.55
"100m","86",9.85,0.6,"Asafa Powell","JAM",1982-11-23,"1r2","Ostrava",2005-06-09,18.2625243,49.8209226,FALSE,22.56
"100m","86",9.85,1.7,"Adekotunbo Olusoji Fasuba","NGR",1984-07-09,"1","Ad-Dawhah",2006-05-12,51.5310398,25.2854473,FALSE,21.85
"100m","86",9.85,0.1,"Asafa Powell","JAM",1982-11-23,"1rA","Saint-Denis",2006-07-08,2.357443,48.936181,FALSE,23.64
"100m","86",9.85,0.5,"Asafa Powell","JAM",1982-11-23,"1rA","Roma",2006-07-14,-95.9036356,36.0766378,FALSE,23.65
"100m","86",9.85,-0.5,"Tyson Gay","USA",1982-08-09,"1","Osaka",2007-08-26,135.5022535,34.6937249,FALSE,25.06
"100m","86",9.85,1.7,"Tyson Gay","USA",1982-08-09,"2rA","New York City",2008-05-31,-74.0059728,40.7127753,FALSE,25.83
"100m","86",9.85,-0.1,"Usain Bolt","JAM",1986-08-21,"1","Kingston",2008-06-28,-117.9269481,33.7085616,FALSE,21.87
"100m","86",9.85,-0.1,"Usain Bolt","JAM",1986-08-21,"1s1","Beijing",2008-08-16,116.4073963,39.9041999,FALSE,22
"100m","86",9.85,2,"Asafa Powell","JAM",1982-11-23,"2","Shanghai",2009-09-20,121.473701,31.230416,FALSE,26.84
"100m","86",9.85,0.1,"Nesta Carter","JAM",1985-11-10,"2","Bruxelles",2010-08-27,4.3517103,50.8503396,FALSE,24.81
"100m","86",9.85,1.3,"Mike Rodgers","USA",1985-04-24,"2","Eugene",2011-06-04,-123.0867536,44.0520691,FALSE,26.13
"100m","86",9.85,1,"Richard Thompson","TTO",1985-06-07,"1","Port of Spain",2011-08-13,-61.5142371,10.6495918,FALSE,26.2
"100m","86",9.85,0.1,"Usain Bolt","JAM",1986-08-21,"1rA","Zagreb",2011-09-13,15.9819189,45.8150108,FALSE,25.08
"100m","86",9.85,0.6,"Asafa Powell","JAM",1982-11-23,"2","Oslo",2012-06-07,10.7522454,59.9138688,FALSE,29.56
"100m","86",9.85,1.6,"Yohan Blake","JAM",1989-12-26,"1rA","Luzern",2012-07-17,8.3093072,47.0501682,FALSE,22.57
"100m","86",9.85,1.7,"Yohan Blake","JAM",1989-12-26,"1s3","London",2012-08-05,-0.1277583,51.5073509,FALSE,22.62
"100m","86",9.85,0.2,"Usain Bolt","JAM",1986-08-21,"1rA","London",2013-07-26,-0.1277583,51.5073509,FALSE,26.95
"100m","86",9.85,-0.3,"Justin Gatlin","USA",1982-02-10,"2","Moskva",2013-08-11,37.6172999,55.755826,FALSE,31.52
"100m","86",9.85,0.9,"Christian Coleman","USA",1996-03-06,"1","Oslo",2019-06-13,10.7522454,59.9138688,FALSE,23.28
"100m","108",9.86,1.2,"Carl Lewis","USA",1961-07-01,"1","Tokyo",1991-08-25,-94.7054123,37.4327307,FALSE,30.17
"100m","108",9.86,-0.4,"Frank Fredericks","NAM",1967-10-02,"1r1","Lausanne",1996-07-03,6.6322734,46.5196535,FALSE,28.77
"100m","108",9.86,0.2,"Maurice Greene","USA",1974-07-23,"1","Athínai",1997-08-03,23.7275388,37.9838096,FALSE,23.05
"100m","108",9.86,1.8,"Ato Boldon","TTO",1973-12-30,"1","Walnut",1998-04-19,-95.0780294,37.6014373,FALSE,24.32
"100m","108",9.86,-0.4,"Ato Boldon","TTO",1973-12-30,"1","Athínai",1998-06-17,23.7275388,37.9838096,FALSE,24.48
"100m","108",9.86,0.1,"Ato Boldon","TTO",1973-12-30,"2r3","Athínai",1999-06-16,23.7275388,37.9838096,FALSE,25.48
"100m","108",9.86,0.4,"Ato Boldon","TTO",1973-12-30,"1","Lausanne",1999-07-02,6.6322734,46.5196535,FALSE,25.52
"100m","108",9.86,-0.2,"Maurice Greene","USA",1974-07-23,"1r1","Berlin",2000-09-01,13.404954,52.5200066,FALSE,26.13
"100m","108",9.86,0.6,"Francis Obikwelu","POR",1978-11-22,"2","Athínai",2004-08-22,23.7275388,37.9838096,FALSE,25.77
"100m","108",9.86,0.2,"Asafa Powell","JAM",1982-11-23,"1rA","Stockholm",2006-07-25,18.0685808,59.3293235,FALSE,23.68
"100m","108",9.86,-0.5,"Asafa Powell","JAM",1982-11-23,"1","Berlin",2006-09-03,13.404954,52.5200066,FALSE,23.79
"100m","108",9.86,-0.2,"Usain Bolt","JAM",1986-08-21,"1","Kingston",2009-06-27,-117.9269481,33.7085616,FALSE,22.87
"100m","108",9.86,0.1,"Usain Bolt","JAM",1986-08-21,"1","Daegu",2010-05-19,128.601445,35.8714354,FALSE,23.76
"100m","108",9.86,1,"Nesta Carter","JAM",1985-11-10,"1r2","Nottwil",2010-08-08,8.1359149,47.1358124,FALSE,24.76
"100m","108",9.86,2,"Asafa Powell","JAM",1982-11-23,"1","Budapest",2011-07-30,19.040235,47.497912,FALSE,28.7
"100m","108",9.86,1.4,"Keston Bledman","TTO",1988-03-08,"1rA","Port of Spain",2012-06-23,-61.5142371,10.6495918,FALSE,24.31
"100m","108",9.86,1.8,"Tyson Gay","USA",1982-08-09,"2","Eugene",2012-06-24,-123.0867536,44.0520691,FALSE,29.9
"100m","108",9.86,1.1,"Usain Bolt","JAM",1986-08-21,"2","Kingston",2012-06-29,-117.9269481,33.7085616,FALSE,25.87
"100m","108",9.86,0.3,"Usain Bolt","JAM",1986-08-21,"1","Bruxelles",2012-09-07,4.3517103,50.8503396,FALSE,26.07
"100m","108",9.86,0.2,"Tyson Gay","USA",1982-08-09,"1r1","Kingston",2013-05-04,-117.9269481,33.7085616,FALSE,30.76
"100m","108",9.86,-0.4,"Justin Gatlin","USA",1982-02-10,"1","Ostrava",2014-06-17,18.2625243,49.8209226,FALSE,32.37
"100m","108",9.86,1.1,"Keston Bledman","TTO",1988-03-08,"1rA","Port of Spain",2015-06-27,-61.5142371,10.6495918,FALSE,27.32
"100m","108",9.86,1.3,"Jimmy Vicaut","FRA",1992-02-27,"2","Saint-Denis",2015-07-04,2.357443,48.936181,FALSE,23.36
"100m","108",9.86,0.9,"Mike Rodgers","USA",1985-04-24,"2s2","Beijing",2015-08-23,116.4073963,39.9041999,FALSE,30.35
"100m","108",9.86,1.8,"Jimmy Vicaut","FRA",1992-02-27,"1","Montreuil",2016-06-07,2.448451,48.863812,FALSE,24.29
"100m","108",9.86,2,"Trayvon Bromell","USA",1995-07-10,"1s2","Eugene",2016-07-03,-123.0867536,44.0520691,FALSE,21
"100m","108",9.86,0.2,"Usain Bolt","JAM",1986-08-21,"1s2","Rio de Janeiro",2016-08-14,-43.1728965,-22.9068467,FALSE,30
"100m","108",9.86,0.9,"Noah Lyles","USA",1997-07-18,"1","Shanghai",2019-05-18,121.473701,31.230416,FALSE,21.85
"100m","108",9.86,0.9,"Christian Coleman","USA",1996-03-06,"2","Shanghai",2019-05-18,121.473701,31.230416,FALSE,23.21
"100m","108",9.86,0.8,"Divine Oduduru","NGR",1996-05-14,"1","Austin",2019-06-07,-97.7430608,30.267153,FALSE,23.08
"100m","138",9.87,0.3,"Linford Christie","GBR",1960-04-02,"1","Stuttgart",1993-08-15,9.1829321,48.7758459,FALSE,33.39
"100m","138",9.87,1.9,"Frank Fredericks","NAM",1967-10-02,"1","Helsinki",1996-06-25,24.9383791,60.1698557,FALSE,28.75
"100m","138",9.87,1.3,"Ato Boldon","TTO",1973-12-30,"1q1","Athínai",1997-08-02,23.7275388,37.9838096,FALSE,23.61
"100m","138",9.87,-0.2,"Obadele Thompson","BAR",1976-03-30,"1","Johannesburg",1998-09-11,28.0473051,-26.2041028,TRUE,22.47
"100m","138",9.87,0.6,"Maurice Greene","USA",1974-07-23,"1","Stockholm",1999-07-30,18.0685808,59.3293235,FALSE,25.04
"100m","138",9.87,-0.3,"Maurice Greene","USA",1974-07-23,"1","Sydney",2000-09-23,151.2092955,-33.8688197,FALSE,26.19
"100m","138",9.87,0.6,"Maurice Greene","USA",1974-07-23,"3","Athínai",2004-08-22,23.7275388,37.9838096,FALSE,30.1
"100m","138",9.87,0.2,"Asafa Powell","JAM",1982-11-23,"1","Bruxelles",2004-09-03,4.3517103,50.8503396,FALSE,21.79
"100m","138",9.87,0.7,"Asafa Powell","JAM",1982-11-23,"1","Gateshead",2008-08-31,-1.603411,54.95268,FALSE,25.79
"100m","138",9.87,0.4,"Asafa Powell","JAM",1982-11-23,"1","Stuttgart",2008-09-13,9.1829321,48.7758459,FALSE,25.82
"100m","138",9.87,0.4,"Justin Gatlin","USA",1982-02-10,"1","Ad-Dawhah",2012-05-11,51.5310398,25.2854473,FALSE,30.27
"100m","138",9.87,1,"Usain Bolt","JAM",1986-08-21,"1s2","London",2012-08-05,-0.1277583,51.5073509,FALSE,25.98
"100m","138",9.87,1.8,"Nesta Carter","JAM",1985-11-10,"1rA","Madrid",2013-07-13,-3.7037902,40.4167754,FALSE,27.69
"100m","138",9.87,0,"Justin Gatlin","USA",1982-02-10,"1","Beijing",2014-05-21,116.4073963,39.9041999,FALSE,32.3
"100m","138",9.87,1.6,"Asafa Powell","JAM",1982-11-23,"1","Austin",2014-08-23,-97.7430608,30.267153,FALSE,31.77
"100m","138",9.87,0,"Tyson Gay","USA",1982-08-09,"1","Eugene",2015-06-26,-123.0867536,44.0520691,FALSE,32.9
"100m","138",9.87,0,"Asafa Powell","JAM",1982-11-23,"1rA","Luzern",2015-07-14,8.3093072,47.0501682,FALSE,32.66
"100m","138",9.87,0,"Asafa Powell","JAM",1982-11-23,"1r2","Bellinzona",2015-07-21,9.0244124,46.1946216,FALSE,32.68
"100m","138",9.87,-1.2,"Usain Bolt","JAM",1986-08-21,"1h2","London",2015-07-24,-0.1277583,51.5073509,FALSE,28.94
"100m","138",9.87,-0.8,"Usain Bolt","JAM",1986-08-21,"1","London",2015-07-24,-0.1277583,51.5073509,FALSE,28.94
"100m","138",9.87,-0.1,"Ronnie Baker","USA",1993-10-15,"1rA","Chorzów",2018-08-22,18.9545728,50.2974884,FALSE,24.87
"100m","138",9.87,-0.1,"Justin Gatlin","USA",1982-02-10,"2","Palo Alto",2019-06-30,-122.1430195,37.4418834,FALSE,37.41
"100m","160",9.88,1.2,"Leroy Burrell","USA",1967-02-21,"2","Tokyo",1991-08-25,-94.7054123,37.4327307,FALSE,24.52
"100m","160",9.88,-0.1,"Ato Boldon","TTO",1973-12-30,"1","Kuala Lumpur",1998-09-17,101.686855,3.139003,FALSE,24.73
"100m","160",9.88,2,"Ato Boldon","TTO",1973-12-30,"1","Oslo",2001-07-13,10.7522454,59.9138688,FALSE,27.55
"100m","160",9.88,1.8,"Shawn Crawford","USA",1978-01-14,"1","Eugene",2004-06-19,-123.0867536,44.0520691,FALSE,26.45
"100m","160",9.88,0.4,"Justin Gatlin","USA",1982-02-10,"1","Helsinki",2005-08-07,24.9383791,60.1698557,FALSE,23.5
"100m","160",9.88,2,"Tyson Gay","USA",1982-08-09,"1r1","Réthymno",2006-07-21,24.4821552,35.3643615,FALSE,23.96
"100m","160",9.88,1.1,"Tyson Gay","USA",1982-08-09,"1","Athínai",2006-09-16,23.7275388,37.9838096,FALSE,24.12
"100m","160",9.88,0.4,"Asafa Powell","JAM",1982-11-23,"1rA","Stockholm",2008-07-22,18.0685808,59.3293235,FALSE,25.68
"100m","160",9.88,0.4,"Asafa Powell","JAM",1982-11-23,"2","Roma",2009-07-10,-95.9036356,36.0766378,FALSE,26.65
"100m","160",9.88,0,"Asafa Powell","JAM",1982-11-23,"2rA","Zürich",2009-08-28,8.541694,47.3768866,FALSE,26.78
"100m","160",9.88,-0.2,"Tyson Gay","USA",1982-08-09,"1","Thessaloníki",2009-09-12,22.9444191,40.6400629,FALSE,27.11
"100m","160",9.88,1.2,"Asafa Powell","JAM",1982-11-23,"1h2","Ostrava",2010-05-27,18.2625243,49.8209226,FALSE,27.53
"100m","160",9.88,1,"Walter Dix","USA",1986-01-31,"2r2","Nottwil",2010-08-08,8.1359149,47.1358124,FALSE,24.53
"100m","160",9.88,0.9,"Ryan Bailey","USA",1989-04-13,"2","Rieti",2010-08-29,12.8567281,42.404509,FALSE,21.39
"100m","160",9.88,1,"Michael Frater","JAM",1982-10-06,"2rA","Lausanne",2011-06-30,6.6322734,46.5196535,FALSE,28.75
"100m","160",9.88,1,"Usain Bolt","JAM",1986-08-21,"1","Monaco",2011-07-22,7.4246158,43.7384176,FALSE,24.93
"100m","160",9.88,0.4,"Asafa Powell","JAM",1982-11-23,"2","Ad-Dawhah",2012-05-11,51.5310398,25.2854473,FALSE,29.48
"100m","160",9.88,1.1,"Asafa Powell","JAM",1982-11-23,"3","Kingston",2012-06-29,-117.9269481,33.7085616,FALSE,29.62
"100m","160",9.88,1.5,"Ryan Bailey","USA",1989-04-13,"1h3","London",2012-08-04,-0.1277583,51.5073509,FALSE,23.33
"100m","160",9.88,1.5,"Ryan Bailey","USA",1989-04-13,"4","London",2012-08-05,-0.1277583,51.5073509,FALSE,23.33
"100m","160",9.88,1.5,"Tyson Gay","USA",1982-08-09,"1","Eugene",2015-05-30,-123.0867536,44.0520691,FALSE,32.83
"100m","160",9.88,1.4,"Mike Rodgers","USA",1985-04-24,"1","Madrid",2015-07-11,-3.7037902,40.4167754,FALSE,30.23
"100m","160",9.88,1,"Usain Bolt","JAM",1986-08-21,"1rA","Kingston",2016-06-11,-117.9269481,33.7085616,FALSE,29.83
"100m","160",9.88,1.9,"Jimmy Vicaut","FRA",1992-02-27,"1","Angers",2016-06-25,-0.5518257,47.4711616,FALSE,24.34
"100m","160",9.88,1.1,"Noah Lyles","USA",1997-07-18,"1","Des Moines",2018-06-22,-93.6249593,41.5868353,FALSE,20.94
"100m","160",9.88,0.8,"Ronnie Baker","USA",1993-10-15,"1rA","Paris",2018-06-30,2.3522219,48.856614,FALSE,24.72
"100m","186",9.89,0.7,"Frank Fredericks","NAM",1967-10-02,"2","Atlanta",1996-07-27,-84.3879824,33.7489954,FALSE,28.84
"100m","186",9.89,0.8,"Ato Boldon","TTO",1973-12-30,"1","Modesto",1997-05-10,-120.9968782,37.6390972,FALSE,23.38
"100m","186",9.89,1.5,"Bruny Surin","CAN",1967-07-12,"1","Montréal",1998-08-01,-73.567256,45.5016889,FALSE,31.08
"100m","186",9.89,0.9,"Maurice Greene","USA",1974-07-23,"1rA","Roma",2002-07-12,-95.9036356,36.0766378,FALSE,27.99
"100m","186",9.89,0,"Shawn Crawford","USA",1978-01-14,"1q2","Athínai",2004-08-21,23.7275388,37.9838096,FALSE,26.62
"100m","186",9.89,0.6,"Shawn Crawford","USA",1978-01-14,"4","Athínai",2004-08-22,23.7275388,37.9838096,FALSE,26.62
"100m","186",9.89,1,"Justin Gatlin","USA",1982-02-10,"1","London",2005-07-22,-0.1277583,51.5073509,FALSE,23.46
"100m","186",9.89,0.9,"Asafa Powell","JAM",1982-11-23,"1","Stuttgart",2006-09-09,9.1829321,48.7758459,FALSE,23.81
"100m","186",9.89,1.6,"Travis Padgett","USA",1986-12-13,"1q2","Eugene",2008-06-28,-123.0867536,44.0520691,FALSE,21.56
"100m","186",9.89,1.6,"Darvis Patton","USA",1977-12-04,"1q3","Eugene",2008-06-28,-123.0867536,44.0520691,FALSE,30.59
